,Article,Question,Obj. 1,Obj. 2,Obj. 3,Obj. 4,Obj. 5,Obj. 6,Obj. 7,Obj. 8,Obj. 9,Obj. 10,Obj. 12,Obj. 13,Obj. 14,Obj. 15,Obj. 16,Sed Contra,Respondeo,Reply Obj. 1,Reply Obj. 2,Reply Obj. 3,Reply Obj. 4,Reply Obj. 5,Reply Obj. 6,Reply Obj. 7,Reply Obj. 8,Reply Obj. 9,Reply Obj. 10,Reply Obj. 11,Reply Obj. 12,Reply Obj. 13,Reply Obj. 14,Reply Obj. 15,Reply Obj. 16
102,"[I, Q. 16, Art. 5]
","Whether God Is Truth?
"," It seems that God is not truth. For truth consists in the
 intellect composing and dividing. But in God there is not composition
 and division. Therefore in Him there is not truth.
"," Further, truth, according to Augustine (De Vera Relig. xxxvi)
 is a ""likeness to the principle."" But in God there is no likeness to
 a principle. Therefore in God there is not truth.
"," Further, whatever is said of God, is said of Him as of the
 first cause of all things; thus the being of God is the cause of all
 being; and His goodness the cause of all good. If therefore there is
 truth in God, all truth will be from Him. But it is true that someone
 sins. Therefore this will be from God; which is evidently false.
",,,,,,,,,,,,,,," Although in the divine intellect there is neither
 composition nor division, yet in His simple act of intelligence He
 judges of all things and knows all things complex; and thus there is
 truth in His intellect.
"," The truth of our intellect is according to its
 conformity with its principle, that is to say, to the things from
 which it receives knowledge. The truth also of things is according to
 their conformity with their principle, namely, the divine intellect.
 Now this cannot be said, properly speaking, of divine truth; unless
 perhaps in so far as truth is appropriated to the Son, Who has a
 principle. But if we speak of divine truth in its essence, we cannot
 understand this unless the affirmative must be resolved into the
 negative, as when one says: ""the Father is of Himself, because He is
 not from another."" Similarly, the divine truth can be called a
 ""likeness to the principle,"" inasmuch as His existence is not
 dissimilar to His intellect.
"," Not-being and privation have no truth of themselves,
 but only in the apprehension of the intellect. Now all apprehension
 of the intellect is from God. Hence all the truth that exists in the
 statement--""that a person commits fornication is true""--is entirely
 from God. But to argue, ""Therefore that this person fornicates is
 from God"", is a fallacy of Accident.
",,,,,,,,,,,,,
103,"[I, Q. 16, Art. 6]
","Whether There Is Only One Truth, According to Which All Things Are True?
"," It seems that there is only one truth, according to which
 all things are true. For according to Augustine (De Trin. xv, 1),
 ""nothing is greater than the mind of man, except God."" Now truth is
 greater than the mind of man; otherwise the mind would be the judge of
 truth: whereas in fact it judges all things according to truth, and
 not according to its own measure. Therefore God alone is truth.
 Therefore there is no other truth but God.
"," Further, Anselm says (De Verit. xiv), that, ""as is the
 relation of time to temporal things, so is that of truth to true
 things."" But there is only one time for all temporal things.
 Therefore there is only one truth, by which all things are true.
",,,,,,,,,,,,,,,," The soul does not judge of things according to any kind
 of truth, but according to the primary truth, inasmuch as it is
 reflected in the soul, as in a mirror, by reason of the first
 principles of the understanding. It follows, therefore, that the
 primary truth is greater than the soul. And yet, even created truth,
 which resides in our intellect, is greater than the soul, not simply,
 but in a certain degree, in so far as it is its perfection; even as
 science may be said to be greater than the soul. Yet it is true that
 nothing subsisting is greater than the rational soul, except God.
"," The saying of Anselm is correct in so far as things are
 said to be true by their relation to the divine intellect.
",,,,,,,,,,,,,,
104,"[I, Q. 16, Art. 7]
","Whether Created Truth Is Eternal?
"," It seems that created truth is eternal. For Augustine
 says (De Lib. Arbit. ii, 8) ""Nothing is more eternal than the nature
 of a circle, and that two added to three make five."" But the truth of
 these is a created truth. Therefore created truth is eternal.
"," Further, that which is always, is eternal. But universals
 are always and everywhere; therefore they are eternal. So therefore
 is truth, which is the most universal.
"," Further, it was always true that what is true in the present
 was to be in the future. But as the truth of a proposition regarding
 the present is a created truth, so is that of a proposition regarding
 the future. Therefore some created truth is eternal.
"," Further, all that is without beginning and end is eternal.
 But the truth of enunciables is without beginning and end; for if
 their truth had a beginning, since it was not before, it was true
 that truth was not, and true, of course, by reason of truth; so that
 truth was before it began to be. Similarly, if it be asserted that
 truth has an end, it follows that it is after it has ceased to be,
 for it will still be true that truth is not. Therefore truth is
 eternal.
",,,,,,,,,,,,,," The nature of a circle, and the fact that two and three
 make five, have eternity in the mind of God.
"," That something is always and everywhere, can be
 understood in two ways. In one way, as having in itself the power of
 extension to all time and to all places, as it belongs to God to be
 everywhere and always. In the other way as not having in itself
 determination to any place or time, as primary matter is said to be
 one, not because it has one form, but by the absence of all
 distinguishing form. In this manner all universals are said to be
 everywhere and always, in so far as universals are independent of
 place and time. It does not, however, follow from this that they are
 eternal, except in an intellect, if one exists that is eternal.
"," That which now is, was future, before it (actually)
 was; because it was in its cause that it would be. Hence, if the
 cause were removed, that thing's coming to be was not future. But the
 first cause is alone eternal. Hence it does not follow that it was
 always true that what now is would be, except in so far as its future
 being was in the sempiternal cause; and God alone is such a cause.
"," Because our intellect is not eternal, neither is the
 truth of enunciable propositions which are formed by us, eternal, but
 it had a beginning in time. Now before such truth existed, it was not
 true to say that such a truth did exist, except by reason of the
 divine intellect, wherein alone truth is eternal. But it is true now
 to say that that truth did not then exist: and this is true only by
 reason of the truth that is now in our intellect; and not by reason
 of any truth in the things. For this is truth concerning not-being;
 and not-being has not truth of itself, but only so far as our
 intellect apprehends it. Hence it is true to say that truth did not
 exist, in so far as we apprehend its not-being as preceding its being.
",,,,,,,,,,,,
105,"[I, Q. 16, Art. 8]
","Whether Truth Is Immutable?
"," It seems that truth is immutable. For Augustine says (De
 Lib. Arbit. ii, 12), that ""Truth and mind do not rank as equals,
 otherwise truth would be mutable, as the mind is.""
"," Further, what remains after every change is immutable; as
 primary matter is unbegotten and incorruptible, since it remains after
 all generation and corruption. But truth remains after all change; for
 after every change it is true to say that a thing is, or is not.
 Therefore truth is immutable.
"," Further, if the truth of an enunciation changes, it changes
 mostly with the changing of the thing. But it does not thus change.
 For truth, according to Anselm (De Verit. viii), ""is a certain
 rightness"" in so far as a thing answers to that which is in the
 divine mind concerning it. But this proposition that ""Socrates sits"",
 receives from the divine mind the signification that Socrates does
 sit; and it has the same signification even though he does not sit.
 Therefore the truth of the proposition in no way changes.
"," Further, where there is the same cause, there is the same
 effect. But the same thing is the cause of the truth of the three
 propositions, ""Socrates sits, will sit, sat."" Therefore the truth of
 each is the same. But one or other of these must be the true one.
 Therefore the truth of these propositions remains immutable; and for
 the same reason that of any other.
",,,,,,,,,,,,,," Augustine is speaking of divine truth.
"," The true and being are convertible terms. Hence just as
 being is not generated nor corrupted of itself, but accidentally, in
 so far as this being or that is corrupted or generated, as is said in
 Phys. i, so does truth change, not so as that no truth remains, but
 because that truth does not remain which was before.
"," A proposition not only has truth, as other things are
 said to have it, in so far, that is, as they correspond to that which
 is the design of the divine intellect concerning them; but it is said
 to have truth in a special way, in so far as it indicates the truth
 of the intellect, which consists in the conformity of the intellect
 with a thing. When this disappears, the truth of an opinion changes,
 and consequently the truth of the proposition. So therefore this
 proposition, ""Socrates sits,"" is true, as long as he is sitting, both
 with the truth of the thing, in so far as the expression is
 significative, and with the truth of signification, in so far as it
 signifies a true opinion. When Socrates rises, the first truth
 remains, but the second is changed.
"," The sitting of Socrates, which is the cause of the
 truth of the proposition, ""Socrates sits,"" has not the same meaning
 when Socrates sits, after he sits, and before he sits. Hence the
 truth which results, varies, and is variously signified by these
 propositions concerning present, past, or future. Thus it does not
 follow, though one of the three propositions is true, that the same
 truth remains invariable.
",,,,,,,,,,,,
106,"[I, Q. 17, Art. 1]
","Whether Falsity Exists in Things?
"," It appears that falsity does not exist in things. For
 Augustine says (Soliloq. ii, 8), ""If the true is that which is, it
 will be concluded that the false exists nowhere; whatever reason may
 appear to the contrary.""
"," Further, false is derived from fallere (to deceive). But
 things do not deceive; for, as Augustine says (De Vera Relig. 33),
 they show nothing but their own species. Therefore the false is not
 found in things.
"," Further, the true is said to exist in things by conformity to
 the divine intellect, as stated above (Q. 16). But everything, in so
 far as it exists, imitates God. Therefore everything is true without
 admixture of falsity; and thus nothing is false.
",,,,,,,,,,,,,,," A thing compared with the intellect is said to be true
 in respect to what it is; and false in respect to what it is not.
 Hence, ""The true tragedian is a false Hector,"" as stated in Soliloq.
 ii, 6. As, therefore, in things that are is found a certain
 non-being, so in things that are is found a degree of falseness.
"," Things do not deceive by their own nature, but by
 accident. For they give occasion to falsity, by the likeness they
 bear to things which they actually are not.
"," Things are said to be false, not as compared with the
 divine intellect, in which case they would be false simply, but as
 compared with our intellect; and thus they are false only relatively.
",,,,,,,,,,,,,
107,"[I, Q. 17, Art. 2]
","Whether There Is Falsity in the Senses?
"," It seems that falsity is not in the senses. For Augustine
 says (De Vera Relig. 33): ""If all the bodily senses report as they are
 affected, I do not know what more we can require from them."" Thus it
 seems that we are not deceived by the senses; and therefore that
 falsity is not in them.
"," Further, the Philosopher says (Metaph. iv, 24) that falsity
 is not proper to the senses, but to the imagination.
"," Further, in non-complex things there is neither true nor
 false, but in complex things only. But affirmation and negation do
 not belong to the senses. Therefore in the senses there is no falsity.
",,,,,,,,,,,,,,," The affection of sense is its sensation itself. Hence,
 from the fact that sense reports as it is affected, it follows that
 we are not deceived in the judgment by which we judge that we
 experience sensation. Since, however, sense is sometimes affected
 erroneously of that object, it follows that it sometimes reports
 erroneously of that object; and thus we are deceived by sense about
 the object, but not about the fact of sensation.
"," Falsity is said not to be proper to sense, since sense
 is not deceived as to its proper object. Hence in another translation
 it is said more plainly, ""Sense, about its proper object, is never
 false."" Falsity is attributed to the imagination, as it represents
 the likeness of something even in its absence. Hence, when anyone
 perceives the likeness of a thing as if it were the thing itself,
 falsity results from such an apprehension; and for this reason the
 Philosopher says (Metaph. v, 34) that shadows, pictures, and dreams
 are said to be false inasmuch as they convey the likeness of things
 that are not present in substance.
"," This argument proves that the false is not in the
 sense, as in that which knows the true and the false.
",,,,,,,,,,,,,
108,"[I, Q. 17, Art. 3]
","Whether Falsity Is in the Intellect?
"," It seems that falsity is not in the intellect. For
 Augustine says (Qq. lxxxiii, 32), ""Everyone who is deceived,
 understands not that in which he is deceived."" But falsity is said to
 exist in any knowledge in so far as we are deceived therein. Therefore
 falsity does not exist in the intellect.
"," Further, the Philosopher says (De Anima iii, 51) that the
 intellect is always right. Therefore there is no falsity in the
 intellect.
",,,,,,,,,,,,,,,," Because the essence of a thing is the proper object of
 the intellect, we are properly said to understand a thing when we
 reduce it to its essence, and judge of it thereby; as takes place in
 demonstrations, in which there is no falsity. In this sense
 Augustine's words must be understood, ""that he who is deceived,
 understands not that wherein he is deceived;"" and not in the sense
 that no one is ever deceived in any operation of the intellect.
"," The intellect is always right as regards first
 principles; since it is not deceived about them for the same reason
 that it is not deceived about what a thing is. For self-known
 principles are such as are known as soon as the terms are understood,
 from the fact that the predicate is contained in the definition of
 the subject.
",,,,,,,,,,,,,,
109,"[I, Q. 17, Art. 4]
","Whether True and False Are Contraries?
"," It seems that true and false are not contraries. For true
 and false are opposed, as that which is to that which is not; for
 ""truth,"" as Augustine says (Soliloq. ii, 5), ""is that which is."" But
 that which is and that which is not are not opposed as contraries.
 Therefore true and false are not contrary things.
"," Further, one of two contraries is not in the other. But
 falsity is in truth, because, as Augustine says, (Soliloq. ii, 10),
 ""A tragedian would not be a false Hector, if he were not a true
 tragedian."" Therefore true and false are not contraries.
"," Further, in God there is no contrariety, for ""nothing is
 contrary to the Divine Substance,"" as Augustine says (De Civ. Dei
 xii, 2). But falsity is opposed to God, for an idol is called in
 Scripture a lie, ""They have laid hold on lying"" (Jer. 8:5), that is
 to say, ""an idol,"" as a gloss says. Therefore false and true are not
 contraries.
",,,,,,,,,,,,,,," What is in things is the truth of the thing; but what
 is apprehended, is the truth of the intellect, wherein truth
 primarily resides. Hence the false is that which is not as
 apprehended. To apprehend being, and not-being, implies contrariety;
 for, as the Philosopher proves (Peri Herm. ii), the contrary of this
 statement ""God is good,"" is, ""God is not good.""
"," Falsity is not founded in the truth which is contrary
 to it, just as evil is not founded in the good which is contrary to
 it, but in that which is its proper subject. This happens in either,
 because true and good are universals, and convertible with being.
 Hence, as every privation is founded in a subject, that is a being,
 so every evil is founded in some good, and every falsity in some
 truth.
"," Because contraries, and opposites by way of privation,
 are by nature about one and the same thing, therefore there is
 nothing contrary to God, considered in Himself, either with respect
 to His goodness or His truth, for in His intellect there can be
 nothing false. But in our apprehension of Him contraries exist, for
 the false opinion concerning Him is contrary to the true. So idols
 are called lies, opposed to the divine truth, inasmuch as the false
 opinion concerning them is contrary to the true opinion of the divine
 unity.
",,,,,,,,,,,,,
110,"[I, Q. 18, Art. 1]
","Whether to Live Belongs to All Natural Things?
"," It seems that to live belongs to all natural things. For
 the Philosopher says (Phys. viii, 1) that ""Movement is like a kind of
 life possessed by all things existing in nature."" But all natural
 things participate in movement. Therefore all natural things partake
 of life.
"," Further, plants are said to live, inasmuch as they have in
 themselves a principle of movement of growth and decay. But local
 movement is naturally more perfect than, and prior to, movement of
 growth and decay, as the Philosopher shows (Phys. viii, 56, 57).
 Since then, all natural bodies have in themselves some principle of
 local movement, it seems that all natural bodies live.
"," Further, amongst natural bodies the elements are the less
 perfect. Yet life is attributed to them, for we speak of ""living
 waters."" Much more, therefore, have other natural bodies life.
",,,,,,,,,,,,,,," These words of the Philosopher may be understood either
 of the first movement, namely, that of the celestial bodies, or of
 the movement in its general sense. In either way is movement called
 the life, as it were, of natural bodies, speaking by a similitude,
 and not attributing it to them as their property. The movement of the
 heavens is in the universe of corporeal natures as the movement of
 the heart, whereby life is preserved, is in animals. Similarly also
 every natural movement in respect to natural things has a certain
 similitude to the operations of life. Hence, if the whole corporeal
 universe were one animal, so that its movement came from an
 ""intrinsic moving force,"" as some in fact have held, in that case
 movement would really be the life of all natural bodies.
"," To bodies, whether heavy or light, movement does not
 belong, except in so far as they are displaced from their natural
 conditions, and are out of their proper place; for when they are in
 the place that is proper and natural to them, then they are at rest.
 Plants and other living things move with vital movement, in
 accordance with the disposition of their nature, but not by
 approaching thereto, or by receding from it, for in so far as they
 recede from such movement, so far do they recede from their natural
 disposition. Heavy and light bodies are moved by an extrinsic force,
 either generating them and giving them form, or removing obstacles
 from their way. They do not therefore move themselves, as do living
 bodies.
"," Waters are called living that have a continuous
 current: for standing waters, that are not connected with a
 continually flowing source, are called dead, as in cisterns and
 ponds. This is merely a similitude, inasmuch as the movement they are
 seen to possess makes them look as if they were alive. Yet this is
 not life in them in its real sense, since this movement of theirs is
 not from themselves but from the cause that generates them. The same
 is the case with the movement of other heavy and light bodies.
",,,,,,,,,,,,,
111,"[I, Q. 18, Art. 2]
","Whether Life Is an Operation?
"," It seems that life is an operation. For nothing is
 divided except into parts of the same genus. But life is divided by
 certain operations, as is clear from the Philosopher (De Anima ii,
 13), who distinguishes four kinds of life, namely, nourishment,
 sensation, local movement and understanding. Therefore life is an
 operation.
"," Further, the active life is said to be different from the
 contemplative. But the contemplative is only distinguished from the
 active by certain operations. Therefore life is an operation.
"," Further, to know God is an operation. But this is life,
 as is clear from the words of John 18:3, ""Now this is eternal life,
 that they may know Thee, the only true God."" Therefore life is an
 operation.
",,,,,,,,,,,,,,," The Philosopher here takes ""to live"" to mean an
 operation of life. Or it would be better to say that sensation and
 intelligence and the like, are sometimes taken for the operations,
 sometimes for the existence itself of the operator. For he says
 (Ethic. ix, 9) that to live is to sense or to understand--in other
 words, to have a nature capable of sensation or understanding. Thus,
 then, he distinguishes life by the four operations mentioned. For in
 this lower world there are four kinds of living things. It is the
 nature of some to be capable of nothing more than taking nourishment,
 and, as a consequence, of growing and generating. Others are able, in
 addition, to sense, as we see in the case of shellfish and other
 animals without movement. Others have the further power of moving from
 place to place, as perfect animals, such as quadrupeds, and birds, and
 so on. Others, as man, have the still higher faculty of understanding.
"," By vital operations are meant those whose principles
 are within the operator, and in virtue of which the operator produces
 such operations of itself. It happens that there exist in men not
 merely such natural principles of certain operations as are their
 natural powers, but something over and above these, such as habits
 inclining them like a second nature to particular kinds of
 operations, so that the operations become sources of pleasure. Thus,
 as by a similitude, any kind of work in which a man takes delight, so
 that his bent is towards it, his time spent in it, and his whole life
 ordered with a view to it, is said to be the life of that man. Hence
 some are said to lead a life of self-indulgence, others a life of
 virtue. In this way the contemplative life is distinguished from the
 active, and thus to know God is said to be life eternal.
",,,,,,,,,,,,,,
112,"[I, Q. 18, Art. 3]
","Whether Life Is Properly Attributed to God?
"," It seems that life is not properly attributed to God.
 For things are said to live inasmuch as they move themselves, as
 previously stated (A. 2). But movement does not belong to God.
 Neither therefore does life.
"," Further, in all living things we must needs suppose some
 principle of life. Hence it is said by the Philosopher (De Anima ii,
 4) that ""the soul is the cause and principle of the living body."" But
 God has no principle. Therefore life cannot be attributed to Him.
"," Further, the principle of life in the living things that
 exist among us is the vegetative soul. But this exists only in
 corporeal things. Therefore life cannot be attributed to incorporeal
 things.
",,,,,,,,,,,,,,," As stated in Metaph. ix, 16, action is twofold. Actions
 of one kind pass out to external matter, as to heat or to cut; whilst
 actions of the other kind remain in the agent, as to understand, to
 sense and to will. The difference between them is this, that the
 former action is the perfection not of the agent that moves, but of
 the thing moved; whereas the latter action is the perfection of the
 agent. Hence, because movement is an act of the thing in movement,
 the latter action, in so far as it is the act of the operator, is
 called its movement, by this similitude, that as movement is an act
 of the thing moved, so an act of this kind is the act of the agent,
 although movement is an act of the imperfect, that is, of what is in
 potentiality; while this kind of act is an act of the perfect, that
 is to say, of what is in act as stated in De Anima iii, 28. In the
 sense, therefore, in which understanding is movement, that which
 understands itself is said to move itself. It is in this sense that
 Plato also taught that God moves Himself; not in the sense in which
 movement is an act of the imperfect.
"," As God is His own very existence and understanding, so
 is He His own life; and therefore He so lives that He has no
 principle of life.
"," Life in this lower world is bestowed on a corruptible
 nature, that needs generation to preserve the species, and
 nourishment to preserve the individual. For this reason life is not
 found here below apart from a vegetative soul: but this does not hold
 good with incorruptible natures.
",,,,,,,,,,,,,
113,"[I, Q. 18, Art. 4]
","Whether All Things Are Life in God?
"," It seems that not all things are life in God. For it is
 said (Acts 17:28), ""In Him we live, and move, and be."" But not all
 things in God are movement. Therefore not all things are life in Him.
"," Further, all things are in God as their first model. But
 things modelled ought to conform to the model. Since, then, not all
 things have life in themselves, it seems that not all things are life
 in God.
"," Further, as Augustine says (De Vera Relig. 29), a living
 substance is better than a substance that does not live. If,
 therefore, things which in themselves have not life, are life in God,
 it seems that things exist more truly in God than themselves. But this
 appears to be false; since in themselves they exist actually, but in
 God potentially.
"," Further, just as good things and things made in time are
 known by God, so are bad things, and things that God can make, but
 that never will be made. If, therefore, all things are life in God,
 inasmuch as known by Him, it seems that even bad things and things
 that will never be made are life in God, as known by Him, and this
 appears inadmissible.
",,,,,,,,,,,,,," Creatures are said to be in God in a twofold sense. In
 one way, so far are they are held together and preserved by the
 divine power; even as we say that things that are in our power are in
 us. And creatures are thus said to be in God, even as they exist in
 their own natures. In this sense we must understand the words of the
 Apostle when he says, ""In Him we live, move, and be""; since our
 being, living, and moving are themselves caused by God. In another
 sense things are said to be in God, as in Him who knows them, in
 which sense they are in God through their proper ideas, which in God
 are not distinct from the divine essence. Hence things as they are in
 God are the divine essence. And since the divine essence is life and
 not movement, it follows that things existing in God in this manner
 are not movement, but life.
"," The thing modelled must be like the model according to
 the form, not the mode of being. For sometimes the form has being of
 another kind in the model from that which it has in the thing
 modelled. Thus the form of a house has in the mind of the architect
 immaterial and intelligible being; but in the house that exists
 outside his mind, material and sensible being. Hence the ideas of
 things, though not existing in themselves, are life in the divine
 mind, as having a divine existence in that mind.
"," If form only, and not matter, belonged to natural
 things, then in all respects natural things would exist more truly in
 the divine mind, by the ideas of them, than in themselves. For which
 reason, in fact, Plato held that the separate man was the true man;
 and that man as he exists in matter, is man only by participation.
 But since matter enters into the being of natural things, we must say
 that those things have simply being in the divine mind more truly
 than in themselves, because in that mind they have an uncreated
 being, but in themselves a created being: whereas this particular
 being, a man, or horse, for example, has this being more truly in its
 own nature than in the divine mind, because it belongs to human
 nature to be material, which, as existing in the divine mind, it is
 not. Even so a house has nobler being in the architect's mind than in
 matter; yet a material house is called a house more truly than the
 one which exists in the mind; since the former is actual, the latter
 only potential.
"," Although bad things are in God's knowledge, as being
 comprised under that knowledge, yet they are not in God as created by
 Him, or preserved by Him, or as having their type in Him. They are
 known by God through the types of good things. Hence it cannot be
 said that bad things are life in God. Those things that are not in
 time may be called life in God in so far as life means understanding
 only, and inasmuch as they are understood by God; but not in so far
 as life implies a principle of operation.
",,,,,,,,,,,,
114,"[I, Q. 19, Art. 1]
","Whether There Is Will in God?
"," It seems that there is not will in God. For the object of
 will is the end and the good. But we cannot assign to God any end.
 Therefore there is not will in God.
"," Further, will is a kind of appetite. But appetite, as it
 is directed to things not possessed, implies imperfection, which
 cannot be imputed to God. Therefore there is not will in God.
"," Further, according to the Philosopher (De Anima iii, 54),
 the will moves, and is moved. But God is the first cause of movement,
 and Himself is unmoved, as proved in Phys. viii, 49. Therefore there
 is not will in God.
",,,,,,,,,,,,,,," Although nothing apart from God is His end, yet He
 Himself is the end with respect to all things made by Him. And this
 by His essence, for by His essence He is good, as shown above (Q. 6,
 A. 3): for the end has the aspect of good.
"," Will in us belongs to the appetitive part, which,
 although named from appetite, has not for its only act the seeking
 what it does not possess; but also the loving and the delighting in
 what it does possess. In this respect will is said to be in God, as
 having always good which is its object, since, as already said, it is
 not distinct from His essence.
"," A will of which the principal object is a good outside
 itself, must be moved by another; but the object of the divine will
 is His goodness, which is His essence. Hence, since the will of God
 is His essence, it is not moved by another than itself, but by itself
 alone, in the same sense as understanding and willing are said to be
 movement. This is what Plato meant when he said that the first mover
 moves itself.
",,,,,,,,,,,,,
115,"[I, Q. 19, Art. 2]
","Whether God Wills Things Apart from Himself?
"," It seems that God does not will things apart from
 Himself. For the divine will is the divine existence. But God is not
 other than Himself. Therefore He does not will things other than
 Himself.
"," Further, the willed moves the willer, as the appetible the
 appetite, as stated in De Anima iii, 54. If, therefore, God wills
 anything apart from Himself, His will must be moved by another; which
 is impossible.
"," Further, if what is willed suffices the willer, he seeks
 nothing beyond it. But His own goodness suffices God, and completely
 satisfies His will. Therefore God does not will anything apart from
 Himself.
"," Further, acts of will are multiplied in proportion to the
 number of their objects. If, therefore, God wills Himself and things
 apart from Himself, it follows that the act of His will is manifold,
 and consequently His existence, which is His will. But this is
 impossible. Therefore God does not will things apart from Himself.
",,,,,,,,,,,,,," The divine will is God's own existence essentially,
 yet they differ in aspect, according to the different ways of
 understanding them and expressing them, as is clear from what has
 already been said (Q. 13, A. 4). For when we say that God exists, no
 relation to any other object is implied, as we do imply when we say
 that God wills. Therefore, although He is not anything apart from
 Himself, yet He does will things apart from Himself.
"," In things willed for the sake of the end, the whole
 reason for our being moved is the end, and this it is that moves the
 will, as most clearly appears in things willed only for the sake of
 the end. He who wills to take a bitter draught, in doing so wills
 nothing else than health; and this alone moves his will. It is
 different with one who takes a draught that is pleasant, which anyone
 may will to do, not only for the sake of health, but also for its own
 sake. Hence, although God wills things apart from Himself only for
 the sake of the end, which is His own goodness, it does not follow
 that anything else moves His will, except His goodness. So, as He
 understands things apart from Himself by understanding His own
 essence, so He wills things apart from Himself by willing His own
 goodness.
"," From the fact that His own goodness suffices the divine
 will, it does not follow that it wills nothing apart from itself, but
 rather that it wills nothing except by reason of its goodness. Thus,
 too, the divine intellect, though its perfection consists in its very
 knowledge of the divine essence, yet in that essence knows other
 things.
"," As the divine intellect is one, as seeing the many only
 in the one, in the same way the divine will is one and simple, as
 willing the many only through the one, that is, through its own
 goodness.
",,,,,,,,,,,,
116,"[I, Q. 19, Art. 3]
","Whether Whatever God Wills He Wills Necessarily?
"," It seems that whatever God wills He wills necessarily.
 For everything eternal is necessary. But whatever God wills, He wills
 from eternity, for otherwise His will would be mutable. Therefore
 whatever He wills, He wills necessarily.
"," Further, God wills things apart from Himself, inasmuch as He
 wills His own goodness. Now God wills His own goodness necessarily.
 Therefore He wills things apart from Himself necessarily.
"," Further, whatever belongs to the nature of God is necessary,
 for God is of Himself necessary being, and the principle of all
 necessity, as above shown (Q. 2, A. 3). But it belongs to His nature
 to will whatever He wills; since in God there can be nothing over and
 above His nature as stated in Metaph. v, 6. Therefore whatever He
 wills, He wills necessarily.
"," Further, being that is not necessary, and being that is
 possible not to be, are one and the same thing. If, therefore, God
 does not necessarily will a thing that He wills, it is possible for
 Him not to will it, and therefore possible for Him to will what He
 does not will. And so the divine will is contingent upon one or the
 other of two things, and imperfect, since everything contingent is
 imperfect and mutable.
"," Further, on the part of that which is indifferent to one or
 the other of two things, no action results unless it is inclined to
 one or the other by some other power, as the Commentator [*Averroes]
 says in Phys. ii. If, then, the Will of God is indifferent with
 regard to anything, it follows that His determination to act comes
 from another; and thus He has some cause prior to Himself.
"," Further, whatever God knows, He knows necessarily. But as the
 divine knowledge is His essence, so is the divine will. Therefore
 whatever God wills, He wills necessarily.
",,,,,,,,,,,," From the fact that God wills from eternity whatever He
 wills, it does not follow that He wills it necessarily; except by
 supposition.
"," Although God necessarily wills His own goodness, He
 does not necessarily will things willed on account of His goodness;
 for it can exist without other things.
"," It is not natural to God to will any of those other
 things that He does not will necessarily; and yet it is not unnatural
 or contrary to His nature, but voluntary.
"," Sometimes a necessary cause has a non-necessary
 relation to an effect; owing to a deficiency in the effect, and not
 in the cause. Even so, the sun's power has a non-necessary relation
 to some contingent events on this earth, owing to a defect not in the
 solar power, but in the effect that proceeds not necessarily from the
 cause. In the same way, that God does not necessarily will some of
 the things that He wills, does not result from defect in the divine
 will, but from a defect belonging to the nature of the thing willed,
 namely, that the perfect goodness of God can be without it; and such
 defect accompanies all created good.
"," A naturally contingent cause must be determined to act
 by some external power. The divine will, which by its nature is
 necessary, determines itself to will things to which it has no
 necessary relation.
"," As the divine essence is necessary of itself, so is the
 divine will and the divine knowledge; but the divine knowledge has a
 necessary relation to the thing known; not the divine will to the
 thing willed. The reason for this is that knowledge is of things as
 they exist in the knower; but the will is directed to things as they
 exist in themselves. Since then all other things have necessary
 existence inasmuch as they exist in God; but no absolute necessity so
 as to be necessary in themselves, in so far as they exist in
 themselves; it follows that God knows necessarily whatever He wills,
 but does not will necessarily whatever He wills.
",,,,,,,,,,
